Country,WEO,ISO,AreaName,RegName,DevName,Year,Inflows
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1980,722.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1981,1881.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1982,1569.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1983,2566.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1984,3222.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1985,2794.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1986,2831.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1987,2424.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1988,2873.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1989,3232.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1990,3187.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1991,2879.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1992,2685.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1993,2964.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1994,2344.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1995,1424.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1996,1263.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1997,1127.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1998,830.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,1999,877.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,2000,1011.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,2001,1202.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,2002,1759.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,2003,1252.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,2004,2137.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,2005,4749.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,2006,3417.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,2007,1753.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,2008,2813.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,2009,3165.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,2010,2017.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,2011,1648.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,2012,1617.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,2013,2196.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,2014,2399.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,2015,2310.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,2016,3097.0
Afghanistan,512.0,AFG,Asia,Southern Asia,Less developed regions,2017,3281.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1980,30.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1981,11.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1982,23.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1983,22.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1984,32.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1985,45.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1986,53.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1987,62.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1988,82.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1989,71.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1990,78.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1991,142.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1992,682.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1993,1400.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1994,1489.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1995,1420.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1996,4007.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1997,4374.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1998,4220.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,1999,3695.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,2000,4755.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,2001,4358.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,2002,3765.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,2003,3362.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,2004,3840.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,2005,5947.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,2006,7914.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,2007,5737.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,2008,5754.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,2009,5137.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,2010,4711.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,2011,3612.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,2012,3364.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,2013,3186.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,2014,3209.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,2015,3528.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,2016,3657.0
Albania,914.0,ALB,Europe,Southern Europe,More developed regions,2017,3781.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1980,175.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1981,184.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1982,190.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1983,201.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1984,197.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1985,202.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1986,183.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1987,172.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1988,199.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1989,230.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1990,302.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1991,269.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1992,407.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1993,360.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1994,364.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1995,650.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1996,1059.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1997,717.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1998,804.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,1999,789.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,2000,906.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,2001,875.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,2002,1030.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,2003,759.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,2004,805.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,2005,1115.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,2006,1300.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,2007,1036.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,2008,1037.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,2009,1485.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,2010,1305.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,2011,1364.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,2012,1369.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,2013,1241.0
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,2014,
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,2015,
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,2016,
Algeria,612.0,DZA,Africa,Northern Africa,Less developed regions,2017,
American Samoa,,,Oceania,Polynesia,Less developed regions,1980,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1980,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1980,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1980,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1981,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1981,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1981,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1981,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1982,7.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1982,7.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1982,7.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1982,7.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1983,7.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1983,7.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1983,7.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1983,7.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1984,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1984,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1984,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1984,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1985,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1985,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1985,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1985,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1986,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1986,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1986,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1986,0.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1987,1.0
American Samoa,,,Oceania,Polynesia,Less developed regions,1987,1.0
